rate,zipCode
139.91,64148
,67118
158.12,40813
139.91,18229
139.91,51012
141.92,79168
,54923
,67651
,49448
153.42,27702
,47387
,50014
174.95,33608
158.12,06239
153.42,54919
,46706
,14846
,48872
,43343
158.78,77052
129.28,07734
129.28,95327
135.64,12961
,26716
,48435
142.29,53181
,52654
123.38,58703
184.72,91945
135.64,52146
,56097
123.38,21777
141.92,42330
,38849
158.78,77586
,39745
129.28,03299
,63359
129.28,60094
145.38,15935
,39845
,48418
,28411
139.91,37333
,75939
129.28,07184
141.92,86313
122.42,61232
129.28,20047
,47452
,31551
